images,currentobject,xstart,xend,ystart,yend,,
playground_good_yellow_3.png,Scene3,0.4,0.8,0.4,0.9,,
pond_bad_blue_1.png,Scene1,0.2,0.6,0.4,0.8,,
pond_bad_blue_2.png,Scene2,0.3,0.6,0.4,0.8,,
pond_bad_blue_3.png,Scene3,0.3,0.6,0.4,0.8,,
pond_bad_green_1.png,Scene1,0.2,0.6,0.4,0.8,,
pond_bad_green_2.png,Scene2,0.3,0.6,0.4,0.8,,
pond_bad_green_3.png,Scene3,0.3,0.6,0.4,0.8,,
pond_bad_yellow_1.png,Scene1,0.2,0.6,0.4,0.8,,
pond_bad_yellow_2.png,Scene2,0.3,0.6,0.4,0.8,,
pond_bad_yellow_3.png,Scene3,0.3,0.6,0.4,0.8,,
pond_good_blue_1.png,Scene1,0.2,0.6,0.4,0.8,,
pond_good_blue_2.png,Scene2,0.2,0.6,0.4,0.8,,
pond_good_blue_3.png,Scene3,0.2,0.6,0.4,0.8,,
pond_good_green_1.png,Scene1,0.2,0.6,0.4,0.8,,
pond_good_green_2.png,Scene2,0.2,0.6,0.4,0.8,,
pond_good_green_3.png,Scene3,0.2,0.6,0.4,0.8,,
pond_good_yellow_1.png,Scene1,0.2,0.6,0.4,0.8,,
pond_good_yellow_2.png,Scene2,0.2,0.6,0.4,0.8,,
pond_good_yellow_3.png,Scene3,0.2,0.6,0.4,0.8,,
shrub_bad_blue_1.png,Scene1,0.3,0.7,0.3,0.8,,
shrub_bad_blue_2.png,Scene2,0.4,0.6,0.4,0.8,,
shrub_bad_blue_3.png,Scene3,0.4,0.6,0.4,0.8,,
shrub_bad_green_1.png,Scene1,0.3,0.7,0.3,0.8,,
shrub_bad_green_2.png,Scene2,0.4,0.6,0.4,0.8,,
shrub_bad_green_3.png,Scene3,0.4,0.6,0.4,0.8,,
shrub_bad_yellow_1.png,Scene1,0.3,0.7,0.3,0.8,,
shrub_bad_yellow_2.png,Scene2,0.4,0.6,0.4,0.8,,
shrub_bad_yellow_3.png,Scene3,0.4,0.6,0.4,0.8,,
shrub_good_blue_1.png,Scene1,0.3,0.7,0.3,0.8,,
shrub_good_blue_2.png,Scene2,0.4,0.6,0.4,0.8,,
shrub_good_blue_3.png,Scene3,0.4,0.7,0.4,0.8,,
shrub_good_green_1.png,Scene1,0.3,0.7,0.3,0.8,,
shrub_good_green_2.png,Scene2,0.4,0.6,0.4,0.8,,
shrub_good_green_3.png,Scene3,0.4,0.7,0.4,0.8,,
shrub_good_yellow_1.png,Scene1,0.3,0.7,0.3,0.8,,
shrub_good_yellow_2.png,Scene2,0.4,0.6,0.4,0.8,,
shrub_good_yellow_3.png,Scene3,0.4,0.7,0.4,0.8,,
snowman_bad_blue_1.png,Scene1,0.3,0.8,0.4,0.9,,
snowman_bad_blue_2.png,Scene2,0.3,0.7,0.4,0.9,,
snowman_bad_blue_3.png,Scene3,0.3,0.7,0.4,0.9,,
snowman_bad_green_1.png,Scene1,0.3,0.8,0.4,0.9,,
snowman_bad_green_2.png,Scene2,0.3,0.7,0.4,0.9,,
snowman_bad_green_3.png,Scene3,0.3,0.7,0.4,0.9,,
snowman_bad_yellow_1.png,Scene1,0.3,0.8,0.4,0.9,,
snowman_bad_yellow_2.png,Scene2,0.3,0.7,0.4,0.9,,
snowman_bad_yellow_3.png,Scene3,0.3,0.7,0.4,0.9,,
snowman_good_blue_1.png,Scene1,0.3,0.7,0.4,0.9,,
snowman_good_blue_2.png,Scene2,0.3,0.6,0.4,0.9,,
snowman_good_blue_3.png,Scene3,0.3,0.6,0.4,0.9,,
snowman_good_green_1.png,Scene1,0.3,0.7,0.4,0.9,,
snowman_good_green_2.png,Scene2,0.3,0.6,0.4,0.9,,
snowman_good_green_3.png,Scene3,0.3,0.6,0.4,0.9,,
snowman_good_yellow_1.png,Scene1,0.3,0.7,0.4,0.9,,
snowman_good_yellow_2.png,Scene2,0.3,0.6,0.4,0.9,,
snowman_good_yellow_3.png,Scene3,0.3,0.6,0.4,0.9,,
soup_bad_blue_1.png,Scene1,0.2,0.8,0.3,0.8,,
soup_bad_blue_2.png,Scene2,0.3,0.8,0.3,0.8,,
soup_bad_blue_3.png,Scene3,0.3,0.8,0.3,0.8,,
soup_bad_green_1.png,Scene1,0.2,0.8,0.3,0.8,,
soup_bad_green_2.png,Scene2,0.3,0.8,0.3,0.8,,
soup_bad_green_3.png,Scene3,0.3,0.8,0.3,0.8,,
soup_bad_yellow_1.png,Scene1,0.2,0.8,0.3,0.8,,
soup_bad_yellow_2.png,Scene2,0.3,0.8,0.3,0.8,,
soup_bad_yellow_3.png,Scene3,0.3,0.8,0.3,0.8,,
soup_good_blue_1.png,Scene1,0.2,0.8,0.3,0.8,,
soup_good_blue_2.png,Scene2,0.3,0.7,0.4,0.8,,
soup_good_blue_3.png,Scene3,0.3,0.7,0.4,0.8,,
soup_good_green_1.png,Scene1,0.2,0.8,0.3,0.8,,
soup_good_green_2.png,Scene2,0.3,0.7,0.4,0.8,,
soup_good_green_3.png,Scene3,0.3,0.7,0.4,0.8,,
soup_good_yellow_1.png,Scene1,0.2,0.8,0.3,0.8,,
soup_good_yellow_2.png,Scene2,0.3,0.7,0.4,0.8,,
soup_good_yellow_3.png,Scene3,0.3,0.7,0.4,0.8,,
swing_bad_blue_1.png,Scene1,0.2,0.8,0.3,0.8,,
